function,type,categories,name,specification,size,width,height,尺寸备注,Price,价格备注,imageMap ,颜色,生肖标签,星座标签,祝福愿望,风格类型,sku_id
珠子,玉类,和田玉,和田碧玉,8mm,8,8,8,,20,,和田碧玉.png,绿,通用,通用,"万事顺遂,体健安泰",国风禅意,A261S9168
珠子,玉类,和田玉,和田碧玉,10mm,10,10,10,,30,,和田碧玉.png,绿,通用,通用,"万事顺遂,体健安泰",国风禅意,A261S9169
珠子,玉类,和田玉,和田白玉,6mm,6,6,6,,8,,和田白玉.png,白,通用,通用,"万事顺遂,澄心净念",国风禅意,A2402S9029
珠子,玉类,和田玉,和田白玉,8mm,8,8,8,,16,,和田白玉.png,白,通用,通用,"万事顺遂,澄心净念",国风禅意,A2402S9022
珠子,玉类,和田玉,和田白玉,10mm,10,10,10,,24,,和田白玉.png,白,通用,通用,"万事顺遂,澄心净念",国风禅意,A261S9170
珠子,木质,檀木,金丝檀木圆珠,6mm,6,6,6,,2,,金丝檀木圆珠.png,白,"虎,兔,猪","射手,摩羯","万事顺遂,睡个好觉",国风禅意,A2410K2088
配件,金属配件,中华文化,s925银兰花,14*14mm,14,14,14,待确认（先随意写一个）,120,待确认（先随意写一个）,s925银兰花隔珠.png,银,通用,通用,"澄心净念,雅致",轻奢精致,P2405K1075
配件,金属配件,中华文化,s925银竹子,14*14mm,14,14,14,待确认（先随意写一个）,120,待确认（先随意写一个）,s925银竹子隔珠.png,银,通用,通用,"万事顺遂,节节高",国风禅意,P2405K1076
珠子,提溜/吊坠,宝石滴溜,南红隔珠荔枝冻蝴蝶滴溜,15*12mm,4,15,45,,30,,南红隔珠荔枝冻蝴蝶滴溜.png,红,"牛,龙,羊,狗",白羊,"求桃花,万事顺遂",国风禅意,P2402S1026
珠子,提溜/吊坠,宝石滴溜,西瓜粉晶天然珍珠滴溜,9*10mm,1.5,9,26,待确认（先随意写一个）,20,,西瓜粉晶天然珍珠滴溜.png,粉,"蛇,马","金牛,天秤",求桃花,少女甜美,A2402P1020
配件,宝石配件,镶嵌隔珠,s925银镀金石榴石隔珠,12*12mm,12,12,12,,100,待确认（先随意写一个）,s925银镀金石榴石隔珠.png,红,"蛇,马","白羊,天蝎","体健安泰,求桃花",轻奢精致,P2405K1063
配件,宝石配件,镶嵌隔珠,s925银镀金欧泊隔珠,12*10mm,12,12,10,待确认（先随意写一个）,90,待确认（先随意写一个）,s925银镀金欧泊隔珠.png,多彩,通用,"天秤,双鱼","心想事成,灵感",轻奢精致,P2405S9049
配件,宝石配件,镶嵌隔珠,s925银镀金海蓝宝隔珠,11*14mm,14,11,11,待确认（先随意写一个）,80,待确认（先随意写一个）,s925银镀金海蓝宝隔珠.png,蓝,"鼠,猪","水瓶,双鱼","睡个好觉,发大财",轻奢精致,P2405K1043
配件,宝石配件,镶嵌隔珠,s925银镀金日光石隔珠,10*8mm,10,10,8,待确认（先随意写一个）,80,待确认（先随意写一个）,s925银镀金日光石隔珠.png,橙,"猴,鸡","双子,狮子","发大财,自信",轻奢精致,P2405K1061
配件,提溜/吊坠,宝石滴溜,s925银镀金粉红碧玺小吊坠,9*11mm,0.5,9,16,待确认（先随意写一个）,80,待确认（先随意写一个）,s925银镀金粉红碧玺小吊坠.png,黄,"猴,鸡","双子,狮子","发大财,升职加薪",轻奢精致,P2405K1072
配件,提溜/吊坠,宝石滴溜,s925银镀金黄绿碧玺小吊坠,9*11mm,0.5,9,16,待确认（先随意写一个）,80,待确认（先随意写一个）,s925银镀金黄绿碧玺小吊坠.png,绿,"虎,兔","金牛,水瓶","发大财,心想事成",轻奢精致,P2405K1069
配件,宝石配件,转运珠,s925银镀金和田玉转运珠,10*10mm,10,10,10,,60,,s925银镀金和田玉转运珠.png,,通用,通用,"万事顺遂,清净",国风禅意,A2405K1077
配件,宝石配件,转运珠,和田玉镶金转运珠,12*10mm,12,12,10,待确认（先随意写一个）,60,待确认（先随意写一个）,和田玉镶金转运珠.png,白,通用,通用,"发大财,转运",国风禅意,A2405K1077
配件,提溜/吊坠,宝石滴溜,沙金莲蓬樱桃红葫芦南红玛瑙滴溜,6*35mm,2,6,35,待确认（先随意写一个）,15,,沙金莲蓬樱桃红葫芦南红玛瑙滴溜.png,粉,"牛,龙,羊,狗",白羊,"求桃花,万事顺遂",国风禅意,A2402S1002
配件,跑环,跑环,和田玉跑环,6*12mm,6,6,12,待确认（先随意写一个）,30,待确认（先随意写一个）,和田玉跑环.png,绿,通用,通用,"万事顺遂,顺遂",国风禅意,A2405S9019
配件,宝石配件,镶嵌隔珠,蔷薇石红绿锆石魔盒,12.5*12.8mm,13,13,12.5,,28,,A2602S9234.png,红,"蛇,马",白羊,"求桃花,幸运",少女甜美,A2602S9234
配件,宝石配件,镶嵌隔珠,蓝水翡翠钱币猫爪,8.8*10mm,1,9,10,,28,,A2602S9230.png,蓝,通用,通用,"发大财,平安护佑",国风禅意,A2602S9230
配件,提溜/吊坠,金属吊坠,南红玛瑙镶锆石葫芦吊坠,7.8*12.7mm,1.5,7.5,18,,25,,A2602S1236.png,红,"兔,羊,猪",巨蟹,"发大财,平安护佑",国风禅意,A2602S1236
配件,宝石配件,隔珠,天然闪灵钻随形珠,10-20mm,14,14,10,,25,,A2602S2249.png,白,通用,"巨蟹,双鱼","澄心净念,万事顺遂",能量疗愈,A2602S2249
配件,宝石配件,隔珠,天然紫水晶切面八角珠,10-15mm,12,12,11.5,,20,,A2602S2247.png,紫,通用,射手,"金榜题名,睡个好觉",能量疗愈,A2602S2247
配件,宝石配件,镶嵌隔珠,青金石四叶草魔盒,5*10.7mm,11,11,11,,20,,A2602S9227.png,蓝,通用,水瓶,"心想事成,万事顺遂",轻奢精致,A2602S9227
配件,提溜/吊坠,宝石滴溜,天然菩提桃木滴溜,9*10mm,6,14,40,待确认（先随意写一个）,30,,天然菩提桃木滴溜.png,棕,"虎,兔,猪","射手,摩羯","万事顺遂,睡个好觉",国风禅意,A2402S9007
配件,提溜/吊坠,宝石滴溜,荔枝冻玛瑙莲蓬滴溜,12*12mm,2,12,25,,25,,荔枝冻玛瑙莲蓬滴溜.png,白,"牛,龙,羊,狗",白羊,"求桃花,万事顺遂",国风禅意,A2402S1006
配件,提溜/吊坠,宝石滴溜,灰玛瑙莲蓬提溜,12*12mm,2,12,25,,25,,灰玛瑙莲蓬提溜.png,灰,通用,通用,"万事顺遂,澄心净念",极简百搭,A2405S1053
配件,宝石配件,镶嵌隔珠,金太阳镶锆石四叶草魔盒,10.8*8mm,13,13,13,,18,,A2602S9232.png,金,"猴,鸡",双子,"发大财,幸运",轻奢精致,A2602S9232
配件,提溜/吊坠,宝石滴溜,南红隔珠6mm粉色兰花滴溜,4*25mm,3,13,25,,15,,南红隔珠6mm粉色兰花滴溜.png,粉,"牛,龙,羊,狗","金牛,天秤",求桃花,国风禅意,A2402S1010
配件,宝石配件,镶嵌隔珠,铜镀天然和田玉竹节,6*13mm,13,13,6,,18,,A2602S9221.png,白,通用,通用,"万事顺遂,体健安泰",国风禅意,A2602S9221
配件,宝石配件,镶嵌隔珠,铜镀天然萤石圆珠,10*10mm,10,10,10,,18,,A2602S2222.png,蓝,通用,通用,"澄心净念,平安护佑",极简百搭,A2602S2222
配件,宝石配件,镶嵌隔珠,铜镀锆石海蓝宝圆形魔盒,7.3*9mm,9,9,9,,18,,A2602S9223.png,蓝,通用,"双鱼,水瓶","心想事成,幸运",轻奢精致,A2602S9223
配件,提溜/吊坠,宝石滴溜,羊脂白玉南瓜提溜,12*9mm,1.5,12,22,,25,,羊脂白玉南瓜提溜.png,白,通用,通用,"万事顺遂,发大财",国风禅意,A2405S9027
配件,提溜/吊坠,宝石滴溜,黄玛瑙莲蓬滴溜,12*12mm,2,12,25,,25,,黄玛瑙莲蓬滴溜.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,万事顺遂",轻奢精致,A2402S1018
配件,宝石配件,隔珠,天然绿水晶双尖六角柱,10-20mm,8,8,18,,18,,A2602S2245.png,绿,"虎,兔,猪","金牛,水瓶","发大财,升职加薪",自然森系,A2602S2245
配件,提溜/吊坠,宝石滴溜,白玉莲蓬提溜,12*12mm,2,12,25,,25,,白玉莲蓬提溜.png,白,通用,"巨蟹,双鱼","万事顺遂,澄心净念",国风禅意,A2405S9059
配件,宝石配件,隔珠,天然黄塔晶方糖,8mm,8,8,8,,18,,A2602S2244.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A2602S2244
配件,提溜/吊坠,金属吊坠,铜镀天然蜜蜡镂空葫芦,8.3*13mm,1,13,8,,15,,A2602S9220.png,棕,通用,通用,"发大财,平安护佑",国风禅意,A2602S9220
配件,宝石配件,隔珠,天然灰月光随形珠,10-20mm,12.5,12.5,9.5,,15,,A2602S9241.png,灰,通用,双鱼,"澄心净念,万事顺遂",能量疗愈,A2602S9241
配件,宝石配件,隔珠,天然黄塔晶随形珠,10-20mm,13,13,10,,15,,A2602S2246.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A2602S2246
配件,隔珠,异域风格,亮银色活扣蝴蝶隔珠,17*23mm,15,15,16,,15,,A2602K3203.png,银,通用,通用,万事顺遂,民族异域,A2602K3203
配件,宝石配件,隔珠,天然红胶花双尖六角柱,7-10mm,10,10,23,,15,,A2602S2239.png,红,"蛇,马","白羊,天蝎",求桃花,少女甜美,A2602S2239
配件,隔片,其他,绿松石隔片磨砂,3*6mm,3,3,6,待确认（先随意写一个）,5,待确认（先随意写一个）,绿松石隔片磨砂.png,绿,"虎,兔","金牛,水瓶","万事顺遂,顺遂",自然森系,A2403S9006
配件,提溜/吊坠,金属吊坠,银色斜向蝴蝶,16*17mm,1,19,24,,15,,A2602K3199.png,银,通用,通用,万事顺遂,极简百搭,A2602K3199
配件,宝石配件,隔珠,天然紫玉方糖,10mm,10,10,10,,15,,A2602S2243.png,紫,"牛,龙,羊,狗,蛇,马",射手,"金榜题名,睡个好觉",能量疗愈,A2602S2243
配件,宝石配件,镶嵌隔珠,紫水晶圆珠,6.5*7mm,7,7,6.5,,15,,A2602S2233.png,紫,"牛,龙,羊,狗,蛇,马",射手,"金榜题名,睡个好觉",能量疗愈,A2602S2233
配件,宝石配件,隔珠,天然茶水晶随形珠,10-20mm,17,14,14,,15,,A2602S2238.png,棕,"猪,牛,龙,羊,狗",摩羯,"万事顺遂,睡个好觉",极简百搭,A2602S2238
配件,提溜/吊坠,金属吊坠,银色镶嵌锆石流苏葫芦,40*2.5mm,2.5,2.5,37,,12,,A2602K3214.png,银,通用,通用,"发大财,平安护佑",轻奢精致,A2602K3214
配件,提溜/吊坠,金属吊坠,银色星星吊坠,12*15mm,2.5,12,27,,12,,A2602K3197.png,银,通用,通用,心想事成,极简百搭,A2602K3197
配件,宝石配件,镶嵌隔珠,粉玛瑙钱币纹圆形魔盒,7*10mm,10,10,10,,12,,A2602S1225.png,粉,通用,通用,"发大财,万事顺遂",极简百搭,A2602S1225
配件,宝石配件,镶嵌隔珠,虎眼石贝珠圆形魔盒,8.5*6mm,8.5,8.5,8.5,,12,,A2602S6229.png,棕,虎,狮子,"体健安泰,万事顺遂",自然森系,A2602S6229
配件,金属配件,十二生肖,沙金烧蓝十二生肖-牛,14*14mm,14,14,14,待确认（先随意写一个）,15,待确认（先随意写一个）,沙金烧蓝十二生肖-牛.png,金,牛,通用,"平安护佑,万事顺遂",国风禅意,A2101K2019
配件,金属配件,十二生肖,沙金烧蓝十二生肖-马,14*14mm,14,14,14,待确认（先随意写一个）,15,待确认（先随意写一个）,沙金烧蓝十二生肖-马.png,金,马,通用,"平安护佑,万事顺遂",国风禅意,A2101K2024
配件,金属配件,十二生肖,沙金烧蓝十二生肖-羊,14*14mm,14,14,14,待确认（先随意写一个）,15,待确认（先随意写一个）,沙金烧蓝十二生肖-羊.png,金,羊,通用,"平安护佑,万事顺遂",国风禅意,A2101K2025
配件,金属配件,十二生肖,沙金烧蓝十二生肖-狗,14*14mm,14,14,14,待确认（先随意写一个）,15,待确认（先随意写一个）,沙金烧蓝十二生肖-狗.png,金,狗,通用,"平安护佑,万事顺遂",国风禅意,A2101K2028
配件,提溜/吊坠,宝石滴溜,紫水晶珍珠滴溜,9*9mm,1.5,9,23,待确认（先随意写一个）,20,待确认（先随意写一个）,紫水晶珍珠滴溜.png,紫,"牛,龙,羊,狗","天秤,双鱼","金榜题名,求桃花",少女甜美,A2402S2016
配件,提溜/吊坠,宝石滴溜,灰月光圆珠滴溜,7*7mm,1.5,7,36,待确认（先随意写一个）,15,待确认（先随意写一个）,灰月光圆珠滴溜.png,灰,通用,"巨蟹,双鱼","睡个好觉,万事顺遂",能量疗愈,A2402S9012
配件,宝石配件,隔珠,天然金曜石切面随形,12*13mm,17.5,17.5,12.5,,12,,A2602S5237.png,黑,通用,通用,"澄心净念,平安护佑",极简百搭,A2602S5237
配件,宝石配件,隔珠,天然巴西冰透紫水晶随形珠,10-20mm,13,13,12,,10,,A2602S2250.png,紫,通用,射手,"金榜题名,睡个好觉",能量疗愈,A2602S2250
配件,提溜/吊坠,金属吊坠,18k金色镶嵌锆石流苏葫芦,50*3mm,2.5,2.5,35,,10,,A2602K3211.png,金,通用,通用,"发大财,闪耀",轻奢精致,A2602K3211
配件,提溜/吊坠,宝石滴溜,红玛瑙樱桃编绳滴溜,8*8mm,2,8,27,待确认（先随意写一个）,15,待确认（先随意写一个）,红玛瑙樱桃编绳滴溜.png,红,"牛,龙,羊,狗,蛇,马",白羊,"体健安泰,求桃花",国风禅意,A2402S1025
配件,提溜/吊坠,金属吊坠,古法沙金福字小吊牌,10*10mm,1,10,15,待确认（先随意写一个）,10,待确认（先随意写一个）,古法沙金福字小吊牌.png,金,通用,通用,"发大财,万事顺遂",国风禅意,A2101K2016
配件,提溜/吊坠,金属吊坠,银色大锆石捕梦网,14*30mm,1,14,30,,10,,A2602K3198.png,银,通用,"双鱼,巨蟹","澄心净念,万事顺遂",能量疗愈,A2602K3198
配件,提溜/吊坠,金属吊坠,18k金色镶嵌锆石流苏星星,38*2.5mm,2.5,2.5,35,,10,,A2602K3212.png,金,通用,通用,"心想事成,闪耀",轻奢精致,A2602K3212
配件,提溜/吊坠,金属吊坠,银色镶嵌锆石流苏星星,37*3mm,2.5,2.5,35,,10,,A2602K3213.png,银,通用,通用,"心想事成,闪耀",轻奢精致,A2602K3213
配件,隔片,其他,金色大号羽闪锆石,6*9mm,6,6,9,,9,,A2602K3206.png,金,通用,通用,"发大财,闪耀",轻奢精致,A2602K3206
配件,宝石配件,隔珠,天然粉晶方糖珠,9-10mm,10,10,10,,10,,A2602S2240.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A2602S2240
配件,宝石配件,镶嵌隔珠,粉色亮银星星,12*12mm,12,12,12,,8,,A2602K3202.png,粉,通用,"金牛,天秤",求桃花,少女甜美,A2602K3202
配件,隔片,其他,银色大号羽闪锆石,6*9mm,6,9,6,,8,,A2602K3205.png,银,通用,通用,闪耀,轻奢精致,A2602K3205
配件,隔珠,中华文化,藏银镂空祥云隔珠,12*12mm,12,12,12,,8,待确认（先随意写一个）,藏银镂空祥云隔珠.png,银,通用,通用,"万事顺遂,祥瑞",民族异域,A261K3179
配件,隔珠,中华文化,15mm藏银复古花纹隔珠,15*15mm,15,15,15,待确认（先随意写一个）,8,,15mm藏银复古花纹隔珠.png,通用,通用,通用,"平安护佑,万事顺遂",民族异域,A261K3175
配件,宝石配件,镶嵌隔珠,铜镀蓝猫眼石圆扣,5*12mm,12,12,12,,8,,A2602S9224.png,蓝,通用,天蝎,"平安护佑,闪耀",轻奢精致,A2602S9224
配件,宝石配件,镶嵌隔珠,浅蓝猫眼石方形魔盒,4*8mm,9,9,9,,8,,A2602S9228.png,蓝,通用,通用,心想事成,极简百搭,A2602S9228
配件,隔珠,异域风格,五号款亮银色珍珠隔片跑环,11*15mm,12,12,15,,8,,A2602K3204.png,银,通用,通用,平安护佑,民族异域,A2602K3204
配件,隔珠,中华文化,藏银太极八卦隔珠,10*10mm,10,10,10,,8,待确认（先随意写一个）,藏银太极八卦隔珠.png,银,通用,通用,"平安护佑,平衡",民族异域,A261K3177
配件,隔珠,中华文化,13mm藏银复古花纹隔珠,13*13mm,13,13,13,待确认（先随意写一个）,8,,13mm藏银复古花纹隔珠.png,通用,通用,通用,"平安护佑,万事顺遂",民族异域,A261K3174
配件,提溜/吊坠,金属吊坠,银色跑环小铃铛,12*16mm,3,12,16,待确认（先随意写一个）,8,待确认（先随意写一个）,银色跑环小铃铛.png,银,通用,通用,"万事顺遂,悦耳",极简百搭,A261K3172
配件,隔珠,异域风格,藏银符文多变棱形隔珠,10*12mm,10,10,12,,8,待确认（先随意写一个）,藏银符文多变棱形隔珠.png,银,通用,通用,"平安护佑,能量",民族异域,A261K3178
配件,宝石配件,镶嵌隔珠,古法紫色葫芦,9*12mm,12,12,9,,6,,A2602K3208.png,紫,通用,通用,"发大财,万事顺遂",国风禅意,A2602K3208
配件,宝石配件,镶嵌隔珠,古法浅绿葫芦,9*12mm,12,12,9,,6,,A2602K3209.png,绿,通用,通用,"发大财,万事顺遂",国风禅意,A2602K3209
配件,宝石配件,镶嵌隔珠,古法橙色葫芦,9*12mm,12,12,9,,6,,A2602K3210.png,橙,通用,通用,"发大财,万事顺遂",国风禅意,A2602K3210
配件,宝石配件,隔珠,天然柠檬晶方糖,8-10mm,,,,,8,,A2602S2248.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A2602S2248
配件,隔珠,中华文化,景泰蓝莲花隔珠10mm,10*9mm,10,10,9,待确认（先随意写一个）,8,待确认（先随意写一个）,景泰蓝莲花隔珠10mm.png,多彩,通用,通用,"万事顺遂,清净",民族异域,A2410K3085
配件,隔珠,中华文化,回形纹环形银色四叶草隔珠,6*10mm,6,6,10,待确认（先随意写一个）,8,待确认（先随意写一个）,回形纹环形银色四叶草隔珠.png,银,通用,通用,"幸运,万事顺遂",少女甜美,A261K3186
配件,隔珠,异域风格,藏银符文隔珠,11*11mm,11,11,11,,8,待确认（先随意写一个）,藏银符文隔珠.png,银,通用,通用,"平安护佑,平衡",民族异域,A261K3176
配件,隔珠,中华文化,景泰蓝莲花隔珠8mm,8*7mm,8,8,7,待确认（先随意写一个）,8,待确认（先随意写一个）,景泰蓝莲花隔珠8mm.png,多彩,通用,通用,"万事顺遂,清净",民族异域,A2410K3084
配件,跑环,跑环,大号银色锆石跑环隔珠,4*9mm,4,4,9,待确认（先随意写一个）,8,待确认（先随意写一个）,大号银色锆石跑环隔珠.png,银,通用,通用,"闪耀,精致",轻奢精致,A261K3183
配件,宝石配件,隔珠,天然白水晶方糖,8-10mm,9.5,9.5,9.5,,6,,A2602S2242.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,A2602S2242
配件,宝石配件,镶嵌隔珠,古法银色蛋面圆形隔珠,12*12mm,12,12,12,,6,,A2602K3207.png,银,通用,通用,"平安护佑,万事顺遂",国风禅意,A2602K3207
配件,跑环,跑环,跑环西瓜晶,8*14mm,,,,,6,,A2602K3215.png,绿,通用,通用,"体健安泰,万事顺遂",自然森系,A2602K3215
配件,隔珠,中华文化,镂空爱心银色隔珠,9*9mm,8,8,9,,8,待确认（先随意写一个）,镂空爱心银色隔珠.png,银,通用,通用,"求桃花,万事顺遂",少女甜美,A261K3181
配件,跑环,跑环,小号银色锆石跑环隔珠,3*9mm,3,3,9,待确认（先随意写一个）,8,待确认（先随意写一个）,小号银色锆石跑环隔珠.png,银,通用,通用,"闪耀,精致",轻奢精致,A261K3182
配件,提溜/吊坠,金属吊坠,银色T锆十字架,14*16mm,1,14,19,,5,,A2602K3200.png,银,通用,通用,平安护佑,极简百搭,A2602K3200
配件,提溜/吊坠,金属吊坠,银色雪花,12*15mm,1,11,18,,5,,A2602K3201.png,银,通用,水瓶,澄心净念,极简百搭,A2602K3201
配件,宝石配件,镶嵌隔珠,香槟猫眼石椭圆形魔盒,12*11,13,13,11,,5,,A2602S9235.png,棕,通用,通用,万事顺遂,极简百搭,A2602S9235
配件,隔珠,中华文化,回形纹环形银色花纹爱心隔珠,4*8mm,4,4,8,待确认（先随意写一个）,8,待确认（先随意写一个）,回形纹环形银色花纹爱心隔珠.png,银,通用,通用,"求桃花,万事顺遂",少女甜美,A261K3185
配件,提溜/吊坠,金属吊坠,金色花生吊坠,8*15mm,1,8,20,待确认（先随意写一个）,10,待确认（先随意写一个）,金色花生吊坠.png,金,通用,通用,"发大财,多子多福",国风禅意,P2007K2034
配件,隔片,其他,微镶锆石车轮钻圈隔片,2.5*10mm,2.5,2.5,10,待确认（先随意写一个）,8,待确认（先随意写一个）,微镶锆石车轮钻圈隔片.png,银,通用,通用,"闪耀,精致",轻奢精致,A261K3184
配件,金属配件,中华文化,沙金古法烧蓝铜钱,8*8mm,8,8,8,待确认（先随意写一个）,5,待确认（先随意写一个）,沙金古法烧蓝铜钱.png,金,通用,通用,发大财,国风禅意,A2101K2014
配件,隔珠,中华文化,镂空银色隔珠,6*6mm,6,6,6,,8,待确认（先随意写一个）,镂空银色隔珠.png,银,通用,通用,"澄心净念,万事顺遂",轻奢精致,A261K3180
配件,金属配件,中华文化,沙金烧蓝-对称祥云,14*10mm,14,14,10,待确认（先随意写一个）,10,待确认（先随意写一个）,沙金烧蓝-对称祥云.png,红,通用,通用,"万事顺遂,祥瑞",国风禅意,A2101K2017
配件,金属配件,异域风格,素银十字架,9*9mm,9,9,9,,5,待确认（先随意写一个）,素银十字架.png,银,通用,通用,"平安护佑,信仰",民族异域,A261K3173
配件,跑环,跑环,仿珍珠跑环,2*10mm,2,2,10,,5,待确认（先随意写一个）,仿珍珠跑环.png,白,通用,"巨蟹,双鱼","求桃花,睡个好觉",少女甜美,A261K3171
